0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
42   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/student/Projects/Building-Oregon/jetty/contexts at interval 0
61   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/student/Projects/Building-Oregon/jetty/contexts/solr.xml
1077 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1117 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
1153 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
1153 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/student/Projects/Building-Oregon/jetty/solr
1154 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/student/Projects/Building-Oregon/jetty/solr/'
1156 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/student/Projects/Building-Oregon/jetty/solr/lib/solr-clustering-4.9.0.jar' to classloader
1156 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/student/Projects/Building-Oregon/jetty/solr/lib/solr-langid-4.9.0.jar' to classloader
1156 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/student/Projects/Building-Oregon/jetty/solr/lib/contrib/' to classloader
1156 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/student/Projects/Building-Oregon/jetty/solr/lib/solr-analysis-extras-4.9.0.jar' to classloader
1251 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/student/Projects/Building-Oregon/jetty/solr/solr.xml
1434 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 1314166731
1435 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/student/Projects/Building-Oregon/jetty/solr/]
1436 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /home/student/Projects/Building-Oregon/jetty/solr/lib
1437 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/student/Projects/Building-Oregon/jetty/solr/lib/solr-clustering-4.9.0.jar' to classloader
1438 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/student/Projects/Building-Oregon/jetty/solr/lib/solr-langid-4.9.0.jar' to classloader
1438 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/student/Projects/Building-Oregon/jetty/solr/lib/contrib/' to classloader
